k,Rayyan ID,Title,Year,Species (Latin),Species (English),Genetic line (if applicable),Order,Family,Recording location,Group context,Juveniles present?,Number of animals,Number of vocalizations (total recorded),Number of vocalizations (included in analysis),Call classification,Full repertoire analysed?,"Repertoire size (hand, total)","Repertoire size (hand, juvenile) - indicate how many calls of total repertoire are juvenile ",Repertoire size (automated),Graded vs discrete (do authors mention reportoire is graded?),Data availability,Notes,Preselected non-noisy calls,Spectrogram type,FFT size,Window type,Overlap (%),Bandpass filtered,High pass freq threshold,Low pass freq threshold ,Notes (preprocess),Package,Number of features,Multi-unit calls?,Characteristics general,Syllables/units,Repeated measurements at multiple locations in call?,PRAAT measures,AvisoftSAS Lab Pro measurements,Raven Pro measurements,warblR measurements,Custom features,Custom measurement of:,Notes call features,Language,"Analysis methods (only mark when used for analysis, so e.g. don't mark UMAP if it's ONLY used for visualization)",Analysis based on:,Notes analysis,Open access,License
11/10/2025 20:26:01,rayyan-305067274,"Comparative study of vocal communication in two Asian leaf monkeys, Presbytis johnii and Presbytis entellus.",1989,Presbytis entellus,South Indian common langur,,Primates,Cercopithecidae,field,group,Yes,118,,697,Hand,Yes,21,3,,Yes,No,,,,,,,,,,,not reported,5,Some,,,,,,,,Mean F0; F0 modulation; bandwidth (including harmonics); number of peaks; difference between highest and lowest peak F0,F0,,N/A,,,,No,
29/10/2025 08:32:28,rayyan-305067503,Vocalizations of South African mustelines.,1977,Ictonyx striatus,striped polecat,,Carnivora,Mustelidae,unclear,group,Unknown,,,,Hand,Yes,10,3,,No,No,recording location unclear,,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,No,
03/11/2025 11:35:49,rayyan-305067351,Comparative analyses of age- and sex-specific patterns of vocal behaviour in four species of Old World monkeys.,1991,Presbytis entellus,common langur,,Primates,Cercopithecidae,field,group,Yes,42,,,Hand,Yes,21,3,,Yes,No,,yes,,,,,,,,not reported,N/A,,,,,,,,,,,,no further analysis,N/A,,,no further analysis,No,
03/11/2025 11:35:49,rayyan-305067351,Comparative analyses of age- and sex-specific patterns of vocal behaviour in four species of Old World monkeys.,1991,Presbytis johnii,Nilgiri langur,,Primates,Cercopithecidae,field,group,Yes,25,,,Hand,Yes,18,1,,Yes,No,,yes,,,,,,,,not reported,N/A,,,,,,,,,,,,no further analysis,N/A,,,no further analysis,No,
03/11/2025 11:35:49,rayyan-305067351,Comparative analyses of age- and sex-specific patterns of vocal behaviour in four species of Old World monkeys.,1991,Macaca radiata,bonnet macaque,,Primates,Cercopithecidae,field,group,Yes,105,,,Hand,Yes,25,5,,Yes,No,,yes,,,,,,,,not reported,N/A,,,,,,,,,,,,no further analysis,N/A,,,no further analysis,No,
03/11/2025 13:22:08,rayyan-305067689,Vocal signals with different social or non-social contexts in two wild rodent species (Mus caroli and Rattus losea).,2023,Rattus losea,lesser ricefield rat,,Rodentia,Muridae,lab,group,Yes,86,,,Hand,No,5,,,No,Upon request,,no,,1024,Hamming,93.75,,,,,Avisoft-SASLab Pro,4,No,duration,,,,"peak frequency, bandwidth, entropy",,,,,,N/A,,,,No,
11/12/2025 04:26:20,rayyan-380414766,"Sound communications of black-tailed, white-tailed, and Gunnison's prairie dogs",1970,Cynomys leucurus,white-tailed prairie dog,,Rodentia,Cynomys,field,group,Unknown,,,,Hand,Yes,6,,,No,No,,,,,,,,,,,Kay Sona-Graph,3,Some,duration,inter unit interval,,,,,,frequency,,,N/A,,,,No,
11/12/2025 04:26:20,rayyan-380414766,"Sound communications of black-tailed, white-tailed, and Gunnison's prairie dogs",1970,Cynomys gunnisoni,Gunnison's prairie dog,,Rodentia,Cynomys,field,group,Unknown,,,,Hand,Yes,8,,,No,No,,,,,,,,,,,Kay Sona-Graph,3,Some,duration,inter unit interval,,,,,,frequency,,,N/A,,,,No,
20/12/2025 02:49:20,rayyan-380414711,Vocalizations of Australian hopping mice (Rodentia: Notomys),1975,Notomys fuscus,dusky hopping mouse ,,Rodentia,Muridae,lab,group,Yes,,,,Hand,Yes,8,3,,No,No,,,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,No,
20/12/2025 02:49:20,rayyan-380414711,Vocalizations of Australian hopping mice (Rodentia: Notomys),1975,Notomys mitchellii,Mitchell's hopping mouse,,Rodentia,Muridae,lab,group,Yes,,,,Hand,Yes,8,3,,No,No,,,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,No,
20/12/2025 02:49:20,rayyan-380414711,Vocalizations of Australian hopping mice (Rodentia: Notomys),1975,Notomys cervinus,fawn hopping mouse,,Rodentia,Muridae,lab,group,Yes,,,,Hand,Yes,8,3,,No,No,,,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,No,
05/01/2026 11:04:10,rayyan-380414768,Vocal repertoire of captive northern and southern flying squirrels (Glaucomys sabrinus and G. volans),2019,Glaucomys volans,southern flying squirrel,,Rodentia,Sciuridae,lab,group,Unknown,26,637,486,Hand,Yes,27,,,No,No,,yes,,512,Hanning/Hann,50,,,,,Raven Pro,6,No,duration,,,,,"average entropy, max/peak frequency",,bandwidth; min F0; max F0,F0,,N/A,,,,No,
05/01/2026 12:03:55,rayyan-380414612,The Vocal Repertoire of Two Sympatric Species of Nectar-Feeding Bats (Glossophaga soricina and G. commissarisi),2010,Glossophaga commissarisi,Commissaris's long-tongued bat,,Chiroptera,Phyllostomidae,lab,group,,18,,95,Hand,Yes,8,,,No,No,,no,,1024,Hamming,87.5,,,,,Avisoft SASlab Pro,30,No,duration,,five different regions even- ly distributed over the call,,"peak frequency, min frequency, max frequency, bandwidth",,,distance to maximum amplitude,,,SPSS,"DFA, k-medians clustering",features,,No,
05/01/2026 12:39:35,rayyan-380414793,Species-specific and shared features in vocal repertoires of three Eurasian ground squirrels (genus Spermophilus),2012,Spermophilus citellus,European ground squirrel,,Rodentia,Sciuridae,field,group,Yes,18,,272,Hand,Yes,8,,,Yes,No,,yes,,512;1024,Hamming,96.87,,,,,Avisoft SASLab Pro,11,Some,duration,"unit duration, inter unit interval",,,"min frequency, max frequency, bandwidth",,,F0 start; F0 end; Most prominent frequency peak of a wideband call at 7–10 kHz; Most prominent peak (or two peaks in chirrs) of a wideband call between the high- and low-frequency peaks at 2–5 kH; Most prominent frequency peak of a wideband call at 0–1 kHz,F0,,N/A,,,,No,
05/01/2026 12:39:35,rayyan-380414793,Species-specific and shared features in vocal repertoires of three Eurasian ground squirrels (genus Spermophilus),2012,Spermophilus fulvus,yellow ground squirrel,,Rodentia,Sciuridae,field,group,Yes,59,,828,Hand,Yes,6,,,Yes,No,,yes,,512;1024,Hamming,96.87,,,,,Avisoft SASLab Pro,11,Some,duration,"unit duration, inter unit interval",,,"min frequency, max frequency, bandwidth",,,F0 start; F0 end; Most prominent frequency peak of a wideband call at 7–10 kHz; Most prominent peak (or two peaks in chirrs) of a wideband call between the high- and low-frequency peaks at 2–5 kH; Most prominent frequency peak of a wideband call at 0–1 kHz,F0,,N/A,,,,No,
06/01/2026 12:09:19,rayyan-380414712,"The vocal repertoires of the bush dog (Speothos venaticus), crab-eating fox (Cerdocyon thous), and maned wolf (Chrysocyon brachyurus)",1981,Cerdocyon thous,crab-eating fox,,Carnivora,Canidae,zoo,group,Yes,23,,,Hand,Yes,8,2,,Yes,No,,no,,,,,,,,,Kay Missilyzer,,Some,,"unit duration, inter unit interval",,,,,,number of emphasized harmonics; dominant frequency range,dominant frequency,,N/A,,,,No,
06/01/2026 12:09:19,rayyan-380414712,"The vocal repertoires of the bush dog (Speothos venaticus), crab-eating fox (Cerdocyon thous), and maned wolf (Chrysocyon brachyurus)",1981,Chrysocyon brachyurus,maned wolf,,Carnivora,Canidae,zoo,group,Yes,11,,,Hand,Yes,9,1,,Yes,No,,no,,,,,,,,,Kay Missilyzer,,Some,,"unit duration, inter unit interval",,,,,,dominant frequency range,dominant frequency,,N/A,,,,No,
06/01/2026 17:04:39,rayyan-380414750,Use of Vocal Fingerprinting for Specific Discrimination of Gray (Microcebus murinus) and Rufous Mouse Lemurs (Microcebus rufus),2000,Microcebus rufus,rufous mouse lemur,,Primates,Cheirogaleidae,lab,group,Unknown,6,,,Hand,No,3,,,Yes,No,,no,,256,Hamming,50,,,,,Avisoft SASlab Pro,19,Some,duration,"unit duration, inter unit interval, number of units",for both units in chirps,,"min frequency, max frequency",,,F0 start; F0 end; F0 max/F0 min; F0 end/F0 start; modulation rate; average start freq of first 7 modulation; average endfreq of first 7 modulation; average bandwidth of first 7 modulation,F0,,N/A,,,,No,
07/01/2026 21:17:43,rayyan-380414749,Intraspecific Variation in the Vocalizations and Hand Pad Morphology of Southern Lesser Bush Babies (Galago moholi): A Comparison with G. senegalensis,2000,Galago moholi,lesser bushbaby,,Primates,Galagidae,field,,Unknown,,,695,Hand,No,3,,,No,No,,no,,512,Hamming,50,,,,,Avisoft Sonogram Pro,4,Some,,"unit duration, inter unit interval, number of units",,,,,,F0,F0,,N/A,,,,No,
08/01/2026 07:53:06,rayyan-380414700,Comparative studies on vocalization in marmoset monkeys (Hapalidae),1968,Callithrix geoffroyi,white-headed marmoset,,Primates,Callitrichidae,zoo,"group, solitary",No,5,,,Hand,No,6,,,No,No,,,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,No,
08/01/2026 07:53:06,rayyan-380414700,Comparative studies on vocalization in marmoset monkeys (Hapalidae),1968,Leontopithecus rosalia,golden lion tamarin,,Primates,Callitrichidae,zoo,"group, solitary",No,4,,,Hand,No,10,,,No,No,,,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,No,
08/01/2026 07:53:06,rayyan-380414700,Comparative studies on vocalization in marmoset monkeys (Hapalidae),1968,Saguinus geoffroyi,Geoffroy's tamarin,,Primates,Callitrichidae,zoo,"group, solitary",Yes,15,,,Hand,No,8,,,No,No,,,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,No,
08/01/2026 07:53:06,rayyan-380414700,Comparative studies on vocalization in marmoset monkeys (Hapalidae),1968,Saguinus oedipus,cotton-top tamarin,,Primates,Callitrichidae,zoo,"group, solitary",No,6,,,Hand,No,5,,,No,No,,,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,No,
08/01/2026 07:53:06,rayyan-380414700,Comparative studies on vocalization in marmoset monkeys (Hapalidae),1968,Mico argentatus,silvery marmoset,,Primates,Callitrichidae,zoo,"group, solitary",No,2,,,Hand,No,4,,,No,No,,,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,No,
08/01/2026 07:53:06,rayyan-380414700,Comparative studies on vocalization in marmoset monkeys (Hapalidae),1968,Callimico goeldii,Goeldi's marmoset,,Primates,Callitrichidae,zoo,"group, solitary",No,8,,,Hand,No,5,,,No,No,,,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,No,
10/01/2026 12:26:40,rayyan-380414800,Pattern analysis of acoustical behavior in four species of ground squirrels,1978,Urocitellus elegans,Wyoming ground squirrel,,Rodentia,Sciuridae,field,,Unknown,,,,Hand,Yes,4,,,No,No,,yes,,,,,,,,,N/A,,,,,,,,,,,,,NT-SYS,UPGMA cluster analysis; matrix correlation,spectrogram,Spectrogram to array by coding each area as 1-4 intensity,No,
10/01/2026 12:26:40,rayyan-380414800,Pattern analysis of acoustical behavior in four species of ground squirrels,1978,Urocitellus richardsonii,Richardson's ground squirrel,,Rodentia,Sciuridae,field,,Unknown,,,,Hand,Yes,,,,No,No,,yes,,,,,,,,,N/A,,,,,,,,,,,,,NT-SYS,UPGMA cluster analysis; matrix correlation,spectrogram,Spectrogram to array by coding each area as 1-4 intensity,No,
10/01/2026 12:26:40,rayyan-380414800,Pattern analysis of acoustical behavior in four species of ground squirrels,1978,Urocitellus sp.,ground squirrel,elegans x richardsonii hybrid,Rodentia,Sciuridae,field,,Unknown,,,,Hand,Yes,,,,No,No,,yes,,,,,,,,,N/A,,,,,,,,,,,,,NT-SYS,UPGMA cluster analysis; matrix correlation,spectrogram,Spectrogram to array by coding each area as 1-4 intensity,No,
10/01/2026 12:47:08,rayyan-380414798,Structure and function of the vocalizations of tree squirrels (Tamiasciurus),1978,Tamiasciurus douglasii,Douglas squirrel,,Rodentia,Sciuridae,field,,Unknown,,,,Hand,Yes,6,,,No,No,,,,,,,,,,,Kay Sonagraph,,Some,duration,"unit duration, inter unit interval",,,,,,,,,N/A,,,,No,
10/01/2026 20:20:10,rayyan-380414805,Comparison of vocalizations between and within Spermophilus elegans elegans and S. richardsonii,1987,Urocitellus richardsonii,Richardson's ground squirrel,,Rodentia,Sciuridae,lab,solitary,No,,,,Hand,No,5,,,No,No,,yes,,,,,,,,,Kay Sonagraph,9,Some,duration,"unit duration, inter unit interval, number of units",,,,,,freq start; freq end; number of harmonics; F1 start; F1 end,,,SPSS,DFA,features,,No,
11/01/2026 07:09:20,rayyan-380414759,Role of sound communication in mating of Malaysian Callosciurus (Sciuridae),1993,Callosciurus caniceps,grey-bellied squirrel ,,Rodentia,Sciuridae,field,group,No,,,,Hand,No,2,,,No,No,,no,,,,,,,,,Kay Sonagraph,,All,,"unit duration, number of units",,,,,,max freq; min freq; F0; F1,,,N/A,,,,No,
11/01/2026 07:49:28,rayyan-380414760,Vocalizations in response to predators in three species of Malaysian Callosciurus (Sciuridae),1993,Callosciurus caniceps,grey-bellied squirrel ,,Rodentia,Sciuridae,field,group,Unknown,,,,Hand,No,4,,,No,No,,no,,,,,,,,,Kay Sonagraph,,Some,duration,"unit duration, unit range (units/s)",,,,,,min freq; max freq; dominant freq,,,N/A,,,,No,
11/01/2026 07:49:28,rayyan-380414760,Vocalizations in response to predators in three species of Malaysian Callosciurus (Sciuridae),1993,Callosciurus nigrovittatus,black-striped squirrel,,Rodentia,Sciuridae,field,group,Unknown,,,,Hand,No,4,,,No,No,,no,,,,,,,,,Kay Sonagraph,,Some,duration,"unit duration, unit range (units/s)",,,,,,min freq; max freq; dominant freq,,,N/A,,,,No,
11/01/2026 12:20:48,rayyan-380414683,"Vocalizations in red deer (Cervus elaphus), sika deer (Cervus nippon), and red × sika hybrids",1998,Cervus nippon,sika deer,,Artiodactyla,Cervidae,field,group,Unknown,,,,Hand,No,2,,,No,No,,no,,,,,,,,, Cool Edit,15,No,duration,,10 points in F0 profile,,,,,min F0; max F0; time to max F0; time to min F0,F0,,SPSS,DFA,features,,No,
11/01/2026 12:20:48,rayyan-380414683,"Vocalizations in red deer (Cervus elaphus), sika deer (Cervus nippon), and red × sika hybrids",1998,Cervus sp.,deer,sika deer x red deer hybrid,Artiodactyla,Cervidae,field,group,Unknown,,,,Hand,No,2,,,No,No,,no,,,,,,,,, Cool Edit,15,No,duration,,10 points in F0 profile,,,,,min F0; max F0; time to max F0; time to min F0,F0,,SPSS,DFA,features,,No,
11/01/2026 19:20:07,rayyan-380414736,Alarm calling in three species of marmots,1999,Marmota caligata,hoary marmot,,Rodentia,Sciuridae,field,group,Yes,21,,36,Hand,No,4,,,Yes,No,,yes,,512,Hamming,50,,,,,Canary,14,Some,duration,"unit duration, inter unit interval, number of units, unit range (units/s)",,,,,,min freq; max freq; peak freq; min freq at call start; min freq at call end; bandwidth; end-start freq; end/start freq,peak frequency,,N/A,,,,No,
11/01/2026 19:20:07,rayyan-380414736,Alarm calling in three species of marmots,1999,Marmota vancouverensis,Vancouver Island marmot,,Rodentia,Sciuridae,field,group,Yes,24,,29,Hand,No,5,,,Yes,No,,yes,,512,Hamming,50,,,,,Canary,14,Some,duration,"unit duration, inter unit interval, number of units, unit range (units/s)",,,,,,min freq; max freq; peak freq; min freq at call start; min freq at call end; bandwidth; end-start freq; end/start freq,peak frequency,,N/A,,,,No,
12/01/2026 21:10:58,rayyan-380414692,Tolerant and intolerant macaques show different levels of structural complexity in their vocal communication,2020,Macaca mulatta,rhesus macaque,,Primates,Cercopithecidae,lab,group,,16,1026,639,Automated,Yes,,,,Yes,"Yes, preprocessed",,yes,,256,Hanning/Hann,,,,,,Raven Pro,7,No,duration,,,,,"aggregate entropy, average entropy, center frequency, 1st quartile frequency, 3rd quartile frequency, center time",,,,,R,Gaussian mixture models,features,,Yes,CC-BY
12/01/2026 21:10:58,rayyan-380414692,Tolerant and intolerant macaques show different levels of structural complexity in their vocal communication,2020,Macaca nigra,crested macaque,,Primates,Cercopithecidae,field,group,,19,1234,696,Automated,Yes,,,,Yes,"Yes, preprocessed",,yes,,256,Hanning/Hann,,,,,,Raven Pro,7,No,duration,,,,,"aggregate entropy, average entropy, center frequency, 1st quartile frequency, 3rd quartile frequency, center time",,,,,R,Gaussian mixture models,features,,Yes,CC-BY
12/01/2026 21:10:58,rayyan-380414692,Tolerant and intolerant macaques show different levels of structural complexity in their vocal communication,2020,Macaca tonkeana,Tonkean macaque,,Primates,Cercopithecidae,lab,group,,13,1210,700,Automated,Yes,,,,Yes,"Yes, preprocessed",,yes,,256,Hanning/Hann,,,,,,Raven Pro,7,No,duration,,,,,"aggregate entropy, average entropy, center frequency, 1st quartile frequency, 3rd quartile frequency, center time",,,,,R,Gaussian mixture models,features,,Yes,CC-BY
13/01/2026 11:57:29,rayyan-380414581,Baboon vocal repertoires and the evolution of primate vocal diversity,2019,Papio papio,Guinea baboon,,Primates,Cercopithecidae,field,group,Unknown,28,,634,Automated,Yes,,,6,Yes,No,,yes,,,,,,,,,LMA,9,No,duration,,,,,,,mean F0; Q2 freq; Mean difference between regression function andactual value of the DFB1; time seg consistency; Mean difference across all time segments; Mean difference between regression function andactual value of the PF; noise %; Harmonic to noise ratio in the first third of the overallcall frequency (1 = no noise),"F0, peak frequency",,SPSS,"DFA, two-step clustering",features,,No,
14/01/2026 17:01:56,rayyan-380414751,"Vocalization analyses of nocturnal arboreal mammals of the Taita Hills, Kenya",2020,Otolemur sp.,greater galago,,Primates,Galagidae,field,,Unknown,,,125,Hand,No,2,,,Yes,"Yes, preprocessed",,yes,,512,Hanning/Hann,50,,,,,Raven Pro,10,No,duration,,,,,"energy, aggregate entropy, max/peak frequency, max/peak power, center frequency, 1st quartile frequency",,min freq; max freq; freq bandwidth,,,R; SPSS,multinomial regression analysis,features,,Yes,CC BY 4.0
14/01/2026 17:01:56,rayyan-380414751,"Vocalization analyses of nocturnal arboreal mammals of the Taita Hills, Kenya",2020,Paragalago sp.,dwarf galago,,Primates,Galagidae,field,,Unknown,,,173,Hand,No,4,,,Yes,"Yes, preprocessed",,yes,,512,Hanning/Hann,50,,,,,Raven Pro,10,No,duration,,,,,"energy, aggregate entropy, max/peak frequency, max/peak power, center frequency, 1st quartile frequency",,min freq; max freq; freq bandwidth,,,R; SPSS,multinomial regression analysis,features,,Yes,CC BY 4.0
